,Unnamed: 0,property_id,address,property_name,description,num_bedroom,num_bathroom,area_size,price,transaction_type,property_type,parking,laundry,furnished,pet_friendly,latitude,longitude,build_year,smoking_allowed,air_conditioning,hardwood_floors,balcony
28,28,512609,23107 77 Avenue NE,50% OFF FIRST MONTHS RENT! 1 AND 2 BEDROOMS AVAILABLE - INQUIRE TODAY*,23107 77 Avenue NE,2,1.0,901,1345,Rent,Apartment,garage,in_suite,True,True,53.5096893,-113.7157923,2000-01-01,False,True,False,True
29,29,289381,11416 124 Street NW,Majestic Apartments,11416 124 Street NW,studio,1.0,336,880,Rent,Apartment,outdoor,in_suite,True,True,53.564119,-113.536436,2000-01-01,False,True,True,False
30,30,294096,10020 103 Avenue,Mainstreet Tower,10020 103 Avenue,studio,1.0,,949,Rent,Apartment,outdoor,in_suite,False,False,53.5456934,-113.492029,2000-01-01,False,True,False,True
31,31,272719,10205 100 Avenue,Downtown High-rise Apartment Near Jasper Ave!,10205 100 Avenue,1,1.0,1245,1281,Rent,Apartment,underground,shared,True,True,53.538529,-113.4951334,2000-01-01,False,True,False,True
32,32,478152,10500 45 Avenue NW,SOUTH RIDGE APARTMENTS EDMONTON,10500 45 Avenue NW,2,1.0,1054,1299,Rent,Apartment,garage,in_suite,True,True,53.483114,-113.5023377,2000-01-01,False,False,False,False
33,33,289360,10710 110 Street NW,Oakmount Manor,10710 110 Street NW,studio,1.0,332,799,Rent,Apartment,outdoor,shared,True,True,53.5517734,-113.5108511,2000-01-01,False,False,False,False
34,34,495803,10611 – 116 St NW,Midtown Estates Apartments,10611 – 116 St NW,2,1.0,970,1720,Rent,Apartment,outdoor,in_suite,False,True,53.550393089394,-113.5207478159,2000-01-01,False,True,False,True
35,35,413251,11530 124 St NW,PARKLANE GARDENS,11530 124 St NW,1,1.0,0,925,Rent,Apartment,outdoor,shared,True,True,53.566489,-113.536245,2000-01-01,False,True,False,True
36,36,455314,1-33 Hooke Rd NW,HOOKE COUNTY TOWNHOMES,1-33 Hooke Rd NW,2,1.5,1039,1424,Rent,Townhouse,garage,in_suite,False,True,53.584281364143,-113.39035104302,2000-01-01,False,True,False,True
37,37,313667,,"Fast access to NAIT, downtown,Royal Alex hospital",,studio,1.0,1100,895,Rent,Apartment,garage,shared,False,True,53.5698409,-113.479492,2000-01-01,False,True,True,True
38,38,518608,15304 100 Avenue Northwest,Shelly Manor,15304 100 Avenue Northwest,studio,1.0,,900,Rent,Apartment,garage,shared,False,True,53.5394193,-113.5853941,2000-01-01,False,False,True,True
39,39,334286,7315 Yellowhead Trail,CANADA WEST COURTS,7315 Yellowhead Trail,1,1.0,0,819,Rent,Apartment,covered,in_suite,False,True,53.582332,-113.4585276,2000-01-01,False,True,False,False
40,40,354691,10910 110 St NW,HUDSON COURT,10910 110 St NW,1,1.0,717,1099,Rent,Apartment,underground,in_suite,False,True,53.5549766,-113.510633,2000-01-01,False,True,True,True
41,41,456596,1-15 Hyndman Crescent,CAVELL RIDGE TOWNHOMES,1-15 Hyndman Crescent,3,1.5,1100,1584,Rent,Townhouse,garage,in_suite,False,True,53.5792244,-113.3790085,2000-01-01,False,True,False,True
42,42,450162,11808 100 Avenue Northwest,Great Apartment - Apartments For Rent In Downtown Edmonton | The Mayflower,11808 100 Avenue Northwest,1,1.0,1120,1465,Rent,Apartment,underground,shared,True,False,53.5396521,-113.5254746,2000-01-01,False,False,True,False
43,43,334156,12025 82 Street,CAVENDISH APARTMENTS,12025 82 Street,2,1.0,700,949,Rent,Apartment,covered,in_suite,True,True,53.5741455,-113.4669914,2000-01-01,False,False,False,False
44,44,334154,11037 83 Street,LINDA MANOR,11037 83 Street,3,1.0,0,1350,Rent,Apartment,garage,in_suite,True,True,53.5591432,-113.4686969,2000-01-01,False,False,True,False
45,45,518097,10629 114 Street,Cozy Apartments in Queen Mary Park!,10629 114 Street,studio,1.0,,875,Rent,Apartment,covered,in_suite,False,False,53.5505662,-113.5172695,2000-01-01,False,True,False,False
46,46,439201,12911 132 Avenue Northwest,Spacious Townhouse Units NW Edmonton,12911 132 Avenue Northwest,2,1.0,850,1000,Rent,Townhouse,underground,shared,True,True,53.591983,-113.5452802,2000-01-01,False,True,False,True
47,47,519098,10735 84 Ave,Welcome to The Garneau! - 6 Unit Apartment,10735 84 Ave,2,2.0,788,1750,Rent,Apartment,garage,in_suite,False,True,53.5198378,-113.5080801,2000-01-01,False,False,True,True
48,48,508373,10333 121 St. NW,Lamplighter Apartments,10333 121 St. NW,2,1.0,1040,1495,Rent,Apartment,outdoor,in_suite,False,True,53.5457805,-113.5303152,2000-01-01,False,True,False,False
49,49,478927,10049 103 Street,Jasper Heights Apartments,10049 103 Street,studio,1.0,500,1167,Rent,Apartment,underground,in_suite,False,True,53.5402876,-113.4970901,2000-01-01,False,False,True,False
50,50,334147,10125 153 Street,CLOVERDALE APARTMENTS,10125 153 Street,1,1.0,515,900,Rent,Apartment,garage,in_suite,True,True,53.5421565,-113.5844926,2000-01-01,False,False,False,True
51,51,520520,11218 124 St,Welcome to Amora Apartments!,11218 124 St,1,1.0,,850,Rent,Apartment,garage,in_suite,False,True,53.561099,-113.5364222,2000-01-01,False,False,False,False
52,52,402270,10829 113 Street NW,CHARLES MANOR,10829 113 Street NW,1,1.0,0,820,Rent,Apartment,garage,shared,True,True,53.553996,-113.515267,2000-01-01,False,True,True,False
53,53,334230,10803 113 St NW,THE EXECUTIVE,10803 113 St NW,1,1.0,0,850,Rent,Apartment,outdoor,shared,False,True,53.553249,-113.5151581,2000-01-01,False,False,False,True
54,54,334141,12948 118 Avenue NW,SKYVIEW APARTMENTS,12948 118 Avenue NW,1,1.0,0,950,Rent,Apartment,covered,shared,False,True,53.5706244,-113.5475113,2000-01-01,False,True,True,False
55,55,456767,1-14 Horner Rd NW,HARTFORD COUNTY TOWNHOMES,1-14 Horner Rd NW,3,1.5,1065,1549,Rent,Townhouse,outdoor,in_suite,True,True,53.585511613282,-113.38921797116,2000-01-01,False,True,False,True
56,56,334212,11760 129th St NW,ALEXANDRIA APARTMENTS,11760 129th St NW,1,1.0,678,990,Rent,Apartment,underground,shared,False,True,53.5700069,-113.5450029,2000-01-01,False,False,True,True
57,57,520346,11330 124 Street,Waldorf Apartments,11330 124 Street,studio,1.0,,749,Rent,Apartment,underground,in_suite,False,True,53.5632011,-113.5363988,2000-01-01,False,False,False,True
58,58,450155,231A Creston Place (56 Street - 144 Avenue),Great Apartment - Townhomes For Rent in North Edmonton | Creston Place,231A Creston Place (56 Street - 144 Avenue),2,1.5,1060,1490,Rent,Townhouse,underground,in_suite,False,False,53.606807,-113.427183,2000-01-01,False,False,True,False
59,59,522645,10837 83 Avenue Northwest Whyte Ave,Luxurious Apartments in Whyte Ave,10837 83 Avenue Northwest Whyte Ave,2,2.0,,1950,Rent,Apartment,covered,in_suite,False,False,53.5188809,-113.5110976,2000-01-01,False,True,False,False
60,60,524338,11112 101 Street Northwest,"Fantastic! Renovated Apartments at ""The Tower"" at Royal Alex Place",11112 101 Street Northwest,2,1.0,900,1425,Rent,Apartment,underground,shared,True,True,53.559311,-113.493969,2000-01-01,False,False,False,False
61,61,454506,10215 95 Street,The Hat at Five Corners,10215 95 Street,studio,1.0,1160,1300,Rent,Apartment,garage,shared,False,True,53.54576269947,-113.47905490675,2000-01-01,False,False,True,True
62,62,485534,9660 229 Street,Luxury Apartments in Secord,9660 229 Street,2,2.0,944,1450,Rent,Apartment,outdoor,in_suite,False,True,53.5361,-113.71214,2000-01-01,False,True,True,False
63,63,288658,150-8930 Jasper Ave. NW,Boardwalk Centre,150-8930 Jasper Ave. NW,studio,1.0,541,1159,Rent,Apartment,covered,shared,False,True,53.5526427,-113.4739792,2000-01-01,False,True,False,True
64,64,288683,8830 85 St. NW,Sir William Place,8830 85 St. NW,1,1.0,771,1324,Rent,Apartment,underground,in_suite,False,True,53.5241524,-113.4586098,2000-01-01,False,False,True,False
65,65,469675,241/245 Watt Common SW,Harmony At Walker Lakes,241/245 Watt Common SW,studio,1.0,,1275,Rent,Apartment,outdoor,in_suite,False,True,53.4232685,-113.4268247,2023-08-01,False,True,False,False
66,66,523936,5104 Chappelle Road SW,VUE at Creekwood East Townhomes - Now Leasing,5104 Chappelle Road SW,3,2.5,1403,1875,Rent,Townhouse,underground,in_suite,False,True,53.40028,-113.57052,2023-08-01,False,False,True,False
67,67,288674,14407 121 St. NW,Castle Court,14407 121 St. NW,2,1.5,1100,1299,Rent,Apartment,outdoor,shared,True,True,53.606302,-113.528421,2023-08-14,False,True,False,True
68,68,333578,2474 Bowen Wynd,Lovely Apartments -- ask about out two bedroom plus den!,2474 Bowen Wynd,1,1.0,609,1425,Rent,Apartment,covered,in_suite,False,True,53.417062015518,-113.51704597377,2023-08-15,False,False,False,True
69,69,523496,8210 111 Street NW,ONE MONTH FREE | Pet-Friendly Suites at Windsor Park Plaza & Lofts,8210 111 Street NW,studio,1.0,0,1420,Rent,Apartment,underground,shared,False,True,53.5186238,-113.5182316,2000-01-01,False,True,False,False
70,70,340735,5868 - 5872 Mullen Place,"Pet Friendly Building w/ Elevator, In Suite Laundry, Dishwasher & Balcony in Terwillegar Community!",5868 - 5872 Mullen Place,2,1.0,880,1499,Rent,Apartment,outdoor,in_suite,True,True,53.4320628,-113.5697698,2000-01-01,False,False,False,True
71,71,412229,10621 100 Avenue NW,"Located in the heart of the government district, 100 House is a 78 unit residential rental development, repositioned in ",10621 100 Avenue NW,studio,1.0,460,1375,Rent,Apartment,outdoor,shared,True,True,53.5385022,-113.504201,2000-01-01,False,False,False,False
72,72,340736,707 / 711 Tamarack Way,"Newer Building w/ Elevator, In Suite Laundry, Dishwasher & Balcony in The Meadows Community!",707 / 711 Tamarack Way,2,1.0,909,1650,Rent,Apartment,garage,shared,False,True,53.4770357,-113.363582,2000-01-01,False,False,False,False
73,73,344534,1665 & 1671 Jamha Road,NEW 2 Bedroom Air Conditioned Apartments in South East Edmonton - Millwoods,1665 & 1671 Jamha Road,2,1.0,798,1675,Rent,Apartment,covered,shared,True,True,53.4845786,-113.4124841,2000-01-01,False,False,True,False
74,74,340737,2315 / 2319 Maple Road,"Newer Building w/ Elevator, In Suite Laundry, Dishwasher; Balcony in The Meadows Community!",2315 / 2319 Maple Road,2,1.0,895,1650,Rent,Apartment,outdoor,shared,True,True,53.4766816,-113.361518,2000-01-01,False,True,True,False
75,75,466211,2610 109 Street Northwest,Luxury Apartments in Century Park,2610 109 Street Northwest,1,1.0,525,1450,Rent,Apartment,covered,in_suite,True,True,53.457381385213,-113.51214651237,2000-01-01,False,False,True,True
76,76,419725,789 Tamarack Way NW,Resort-Style Apartments: Now Open!,789 Tamarack Way NW,1,1.0,532,1295,Rent,Apartment,underground,in_suite,False,True,53.4789297,-113.3646865,2000-01-01,False,False,True,True
77,77,510464,10001 Bellamy Hill,Apartments for Rent Downtown Edmonton ,10001 Bellamy Hill,2,2.0,1036,1499,Rent,Apartment,outdoor,in_suite,False,True,53.5384991,-113.4943113,2000-01-01,False,False,True,True
78,78,530057,11128 82 Avenue NW,Pet-friendly Lofts by Whyte Ave and University,11128 82 Avenue NW,studio,1.0,0,1348,Rent,Apartment,garage,in_suite,True,True,53.5184387,-113.5192112,2023-08-01,False,False,False,False
79,79,523497,8409 112 Street NW,The Galen Lofts,8409 112 Street NW,1,1.0,0,1645,Rent,Apartment,covered,in_suite,False,False,53.5203925,-113.5206111,2023-08-01,False,False,True,True
80,80,524792,2815 109 A Street,"BRAND-NEW, Spacious, Luxury Rental Suites!  ",2815 109 A Street,1,1.0,1025,1350,Rent,Apartment,underground,shared,True,True,53.458258605173,-113.51023018916,2023-08-01,False,False,True,True
81,81,482131,1332 Watt Drive Southwest,Essential Aurora Townhomes in SW Edmonton - Move In Bonuses On Select Units!,1332 Watt Drive Southwest,3,2.5,1274,1850,Rent,Townhouse,underground,shared,True,True,53.4148178,-113.431259,2023-08-15,False,True,False,True
82,82,523499,11703 51 Avenue NW,Edgeway,11703 51 Avenue NW,2,2.5,1031,1727,Rent,Townhouse,outdoor,in_suite,False,True,53.4874458,-113.5347987,2023-09-01,False,True,True,True
83,83,278452,1776 Cunningham Way Southwest,Callaghan Landing II - 2 & 3 Bedroom Townhomes For Rent - Move In Bonuses On Select Units!,1776 Cunningham Way Southwest,3,2.5,1271,1850,Rent,Townhouse,underground,in_suite,False,True,53.40701,-113.5300657,2023-09-20,False,True,True,False
84,84,527448,4008 Savaryn Drive Southwest,4008 Savaryn Drive Southwest,4008 Savaryn Drive Southwest,2.5,2.0,1144,2250,Rent,Condo Unit,garage,in_suite,False,True,53.4110907,-113.4586857,2000-01-01,False,True,True,True
85,85,510599,1328 PODERSKY WYND SW EDMONTON AB T6W 5E4,1328 PODERSKY WYND SW EDMONTON AB T6W 5E4,1328 PODERSKY WYND SW EDMONTON AB T6W 5E4,3,2.5,1420,1800,Rent,House,garage,in_suite,True,True,53.412066529734,-113.558271277734,2000-01-01,False,True,True,True
86,86,532310,10118 95 Street,10118 95 Street,10118 95 Street,2,2.0,,1500,Rent,Condo Unit,garage,shared,True,False,53.5437935,-113.4783569,2000-01-01,False,True,False,False
87,87,530644,6608 106 Street,6608 106 Street,6608 106 Street,2.5,1.5,960,1850,Rent,Duplex,garage,shared,False,False,53.5033872,-113.5047279,2000-01-01,False,False,False,False
88,88,494681,10525 83 Avenue Northwest,10525 83 Avenue Northwest,10525 83 Avenue Northwest,2,1.0,970,1400,Rent,Apartment,outdoor,shared,False,True,53.518865,-113.5013847,2000-01-01,False,False,False,True
89,89,531102,,,,1,1.0,500,900,Rent,Basement,underground,in_suite,False,True,53.5550579,-113.5321442,2000-01-01,False,True,False,False
90,90,530351,5115 152A Avenue Northwest,5115 152A Avenue Northwest,5115 152A Avenue Northwest,3,2.0,1600,1975,Rent,Main Floor,garage,in_suite,True,True,53.6144685,-113.4206636,2000-01-01,False,True,False,True
91,91,288623,10350 122 St. NW,10350 122 St. NW,10350 122 St. NW,1,1.0,750,1329,Rent,Apartment,underground,in_suite,True,True,53.546194052241,-113.53271226085,2000-01-01,False,True,False,False
92,92,532462,612 83 Street Southwest,612 83 Street Southwest,612 83 Street Southwest,3,1.5,1300,1900,Rent,Duplex,garage,in_suite,True,True,53.426578,-113.4612292,2000-01-01,False,False,True,False
93,93,532267,11108 40 Avenue Northwest,11108 40 Avenue Northwest,11108 40 Avenue Northwest,3,1.5,1170,1800,Rent,House,covered,in_suite,True,True,53.4760386,-113.5177446,2000-01-01,False,True,True,False
94,94,528988,9104 176 Avenue Northwest,9104 176 Avenue Northwest,9104 176 Avenue Northwest,4.5,3.0,,2295,Rent,House,underground,shared,True,False,53.6386527,-113.4799973,2000-01-01,False,False,False,True
95,95,439528,10360 102 St NW,10360 102 St NW,10360 102 St NW,1,1.0,562,2100,Rent,Condo Unit,outdoor,in_suite,False,True,53.5457543,-113.4962335,2000-01-01,False,True,False,False
96,96,427629,11311 89 st,11311 89 st,11311 89 st,2,1.0,,1200,Rent,House,underground,shared,False,True,53.563156,-113.4776269,2000-01-01,False,True,True,False
97,97,532559,11128 54 Avenue Northwest,11128 54 Avenue Northwest,11128 54 Avenue Northwest,6,3.0,2100,2300,Rent,House,outdoor,in_suite,True,False,53.4908454,-113.5187682,2000-01-01,False,False,False,False
98,98,532224,17003 67 Ave NW,17003 67 Ave NW,17003 67 Ave NW,2,2.0,900,1500,Rent,Condo Unit,garage,shared,True,False,53.5019441,-113.6163387,2000-01-01,False,False,True,True
99,99,495597,12025 22 Avenue SW,12025 22 Avenue SW,12025 22 Avenue SW,2.5,2.0,,1550,Rent,Condo Unit,underground,shared,False,True,53.4108668,-113.5352462,2000-01-01,False,True,True,False
100,100,494948,17325 8A Avenue Southwest,17325 8A Avenue Southwest,17325 8A Avenue Southwest,4,3.5,1825,2095,Rent,Duplex,underground,shared,False,False,53.4263694,-113.6192276,2000-01-01,False,True,True,False
101,101,526783,,,,2,1.0,1890,1300,Rent,Basement,underground,shared,False,False,53.4721436,-113.6721322,2000-01-01,False,True,False,False
102,102,415566,11405 132 St NW,11405 132 St NW,11405 132 St NW,1,1.0,1000,1005,Rent,Apartment,garage,shared,True,True,53.563705,-113.549995,2000-01-01,False,False,True,True
103,103,435594,6019 165 Avenue Northwest,6019 165 Avenue Northwest,6019 165 Avenue Northwest,1,1.0,800,550,Rent,Room For Rent,underground,in_suite,False,False,53.6271055,-113.433026,2000-01-01,False,True,False,True
104,104,455848,17124 101 Street Northwest,17124 101 Street Northwest,17124 101 Street Northwest,2,2.0,980,1198,Rent,Basement,covered,in_suite,False,True,53.633202,-113.49879,2000-01-01,False,True,False,False
105,105,523736,4829 Kinney Road Southwest,4829 Kinney Road Southwest,4829 Kinney Road Southwest,1,1.0,,1050,Rent,Basement,garage,in_suite,True,False,53.4157911,-113.6269298,2000-01-01,False,False,False,False
106,106,493941,10620 99 Avenue,10620 99 Avenue,10620 99 Avenue,1,1.0,650,1748,Rent,Apartment,underground,in_suite,False,True,53.5374329,-113.5044271,2000-01-01,False,False,True,False
107,107,309040,10030 114 Street,10030 114 Street,10030 114 Street,studio,1.0,,1245,Rent,Apartment,outdoor,shared,True,False,53.539613993697,-113.51810817791,2000-01-01,False,False,True,True
108,108,417145,"9333, 158 Street","9333, 158 Street","9333, 158 Street",2.5,1.0,1320,1550,Rent,Main Floor,outdoor,in_suite,False,True,53.5295925,-113.5928404,2000-01-01,False,False,True,False
109,109,532517,1104-9909 110 St Nw,1104-9909 110 St Nw,1104-9909 110 St Nw,2,2.0,,1995,Rent,House,outdoor,shared,False,False,53.5375374,-113.509937,2000-01-01,False,True,False,True
110,110,462699,Rowand House - 9747 104 Street Northwest,Rowand House - 9747 104 Street Northwest,Rowand House - 9747 104 Street Northwest,1,1.0,590,825,Rent,Apartment,outdoor,shared,True,False,53.5349399,-113.4987454,2000-01-01,False,True,True,False
111,111,288657,3845 Millwoods Rd.,3845 Millwoods Rd.,3845 Millwoods Rd.,3,1.5,1100,1659,Rent,Apartment,underground,shared,False,True,53.4732224,-113.4533703,2000-01-01,False,False,False,True
112,112,303334,10139 158 St NW,10139 158 St NW,10139 158 St NW,1,1.0,,950,Rent,Apartment,outdoor,shared,True,True,53.542467,-113.593367,2000-01-01,False,True,True,True
113,113,260198,10640/10650 108 Street,10640/10650 108 Street,10640/10650 108 Street,1,1.0,,825,Rent,Apartment,outdoor,shared,False,True,53.5508039,-113.5069683,2000-01-01,False,False,False,True
114,114,454143,10508 93 Street Northwest,10508 93 Street Northwest,10508 93 Street Northwest,1,1.0,480,1275,Rent,Apartment,underground,shared,True,True,53.5504123,-113.4782631,2000-01-01,False,True,False,True
115,115,532427,1030 Chappelle Boulevard Southwest,1030 Chappelle Boulevard Southwest,1030 Chappelle Boulevard Southwest,3,2.0,1430,1700,Rent,Townhouse,outdoor,in_suite,False,True,53.4093266,-113.5707615,2000-01-01,False,False,False,True
116,116,383253,11447 82 Street Northwest,11447 82 Street Northwest,11447 82 Street Northwest,4,2.0,,1350,Rent,House,garage,shared,True,True,53.5656793,-113.4669608,2000-01-01,False,True,True,True
117,117,455427,400-463 & 500-563 Huntington Hill NW,400-463 & 500-563 Huntington Hill NW,400-463 & 500-563 Huntington Hill NW,2,1.0,1050,1225,Rent,Townhouse,covered,in_suite,True,True,53.48277983347,-113.49721703254,2000-01-01,False,True,False,True
118,118,532399,10360 102 St NW,10360 102 St NW,10360 102 St NW,1.5,1.0,700,2800,Rent,Condo Unit,underground,shared,False,True,53.5457543,-113.4962335,2000-01-01,False,False,False,True
119,119,530544,8526 106A Street Northwest,8526 106A Street Northwest,8526 106A Street Northwest,4.5,3.5,2200,2750,Rent,Duplex,garage,in_suite,False,True,53.5216543,-113.5053006,2000-01-01,False,False,False,False
120,120,255025,4203 107 Street,4203 107 Street,4203 107 Street,1,1.0,,950,Rent,Apartment,garage,in_suite,False,True,53.479342,-113.5071,2000-01-01,False,True,True,False
121,121,532395,10612 65 Avenue Northwest,10612 65 Avenue Northwest,10612 65 Avenue Northwest,3.5,2.5,1800,2400,Rent,Main Floor,covered,shared,False,False,53.5021991,-113.5053917,2000-01-01,False,True,False,True
122,122,514318,9749 82 Avenue NW,9749 82 Avenue NW,9749 82 Avenue NW,1,1.0,,950,Rent,Apartment,underground,in_suite,False,False,53.5177701,-113.4824352,2000-01-01,False,False,True,True
123,123,498358,10141 162 Street NW,10141 162 Street NW,10141 162 Street NW,1,1.0,,878,Rent,Apartment,underground,shared,True,False,53.5427751,-113.6005648,2000-01-01,False,True,False,True
124,124,532367,"101, 10145 114th Street, NW","101, 10145 114th Street, NW","101, 10145 114th Street, NW",2,2.0,1200,1550,Rent,House,underground,shared,False,False,53.54202,-113.51732,2000-01-01,False,True,True,True
125,125,511169,8810 128 Avenue Northwest,8810 128 Avenue Northwest,8810 128 Avenue Northwest,2,1.0,500,900,Rent,Basement,outdoor,shared,True,True,53.5861955,-113.4775565,2000-01-01,False,True,True,True
126,126,532105,,,,2,2.0,1030,2000,Rent,Condo Unit,garage,in_suite,False,True,53.533439472859,-113.501386011206,2000-01-01,False,True,True,False
127,127,279603,,,,2,1.0,985,1100,Rent,Basement,underground,shared,True,True,53.5153174,-113.4649499,2000-01-01,False,False,True,False
128,128,493292,1-11616 82 Street Northwest,1-11616 82 Street Northwest,1-11616 82 Street Northwest,2,1.0,550,945,Rent,Basement,underground,shared,True,True,53.5706917,-113.4675289,2000-01-01,False,True,True,False
129,129,532458,8956 156 Street NW,8956 156 Street NW,8956 156 Street NW,2.5,2.0,1103,1450,Rent,Condo Unit,garage,in_suite,False,False,53.5228472,-113.591812,2000-01-01,False,False,False,False
